id,diary,heart,name,menu,price,rating,kategorie,phonenumber,businesshours,closeddays,breaktime,kiosk,place,latitude,longitude
1,1,1,도담초밥,"활어초밥,생연어초밥,모듬초밥,민물장어초밥,한우초밥,초새우초밥,연어불초밥","19000,18000,18000,19000,19000,16000,19000",4.6,일식,0507-1332-0720,11:30~22:30,없음,14:30~15:30,없음,인천 서구 탁옥로 17,37.5442282023004,126.671411943773
2,0,0,국수궁전,"잔치국수,비빔국수,쫄면,냉국수,비빔밥,부추전","6000,7000,7000,7000,7000,7000,7000",4.5,한식,0507-1349-9569,08:00~20:00,월요일,없음,없음,인천 서구 심곡로 165,37.547723285976,126.681652855522
3,0,0,감자탕마을,"감자탕(소),등뼈해물찜(소),삼계탕,뼈해장국,생고기김치찌개,양푼비빔밥,냉면","35000,45000,14000,10000,10000,10000,10000",4.4,한식,0507-1448-0645,09:30~21:30,수요일,없음,없음,인천 서구 대평로 5,37.5470754604579,126.676444921014
4,0,0,성원닭갈비,"닭갈비(소),닭갈비(중),닭갈비(대),치즈볶음밥,알밥,라면 떡사리,쫄면 우동사리","29000,36000,44000,4000,4000,2000,2000",4.5,한식,032-567-8996,10:30~24:30,없음,없음,없음,인천 서구 탁옥로 49,37.5440877141166,126.675082992027
5,1,1,교동짬뽕,"교동짬뽕,찹쌀탕수육 미니,삼선짬뽕,짜장면,쟁반짜장,우동","9500,14000,13000,7000,9500,9500",4.4,중식,0507-1442-8894,11:00~21:00,월요일,없음,있음,인천 서구 심곡로 35,37.542395856533,126.67346149477
6,0,0,촌장골,"소 왕 갈비,한우 설화꽃살,촌장 돼지양념구이,왕 갈비탕(2대),차돌 된장찌개,정통 함흥냉면","48000,62000,19000,17000,10000,11000",4.3,한식,032-562-4343,11:00~22:00,없음,없음,없음,인천 서구 서곶로 296,37.5440759399952,126.677163071146
7,0,0,태백산,"한돈왕갈비,한우 1++ 갈비살,소왕갈비,한우 1++ 등심,명품삼겹살,한우육회","21000,43000,45000,53000,18000,33000",4.5,한식,032-567-3331,11:00~22:00,없음,없음,없음,인천 서구 서곶로315번길 26,37.5460050248938,126.673903592051
8,0,0,박군술상,"스지탕,육회물회,한근탕수육,차돌짬뽕파스타,쫄뱅이,생고기김치찌개,피꼬막초무침","26000,18000,14000,15000,15000,15000,15000",4.5,한식,0507-1405-9355,17:00~23:50,일요일,없음,없음,인천 서구 탁옥로 10,37.5439021680194,126.670487197643
9,0,0,잊지못회,"광어(1인),우럭(1인),연어(1인),광어+우럭(1인),광어+연어(1인),우럭+연어(1인)","23000,23000,25000,23000,25000,25000",4.4,한식,0507-1360-7715,14:00~24:00,없음,없음,없음,인천 서구 대평로8번길 2,37.5474120340164,126.676332342388
10,1,1,타코로와,"타코로와 타코앤후라이(6알),쭈꾸미 타코야끼(6알),마라 타코야끼(6알),오리지널 타코야끼(6알),두근두근 랜덤박스(10알),포테이토 모임","7000,8000,4500,4000,8000,5000",4.3,일식,0507-1492-5279,12:00~24:00,없음,없음,없음,인천 서구 탁옥로 21,37.5442393571378,126.671826837611
11,0,0,처비스,"마르게리타,페퍼로니 피자,하와이안 피자,고르곤졸라,치즈크러스트 피자,BBQ 치킨 피자,불고기 피자","18000,17000,24000,19000,21000,22000,20000",4.5,양식,070-4792-8285,00:00~24:00,없음,없음,없음,인천 서구 청라커낼로 270,37.5325339360697,126.644964478604
12,0,0,구루멘,"쇼유라멘,돈코츠라멘,미소라멘,카라이라멘,츠케멘,탄탄멘,야끼소바","12500,13000,11000,14000,15000,13000,13500",4.6,일식,0507-1315-5948,11:30~20:00,없음,15:30~17:00,없음,인천 서구 청라커낼로 270,37.5325338360697,126.644964578604
13,0,0,레이중화요리,"짜장면,짬뽕,탕수육,볶음밥,깐풍기,양장피,유린기","8000,9000,18000,12000,19000,22000,21000",4.2,중식,0507-1392-3889,11:00~21:30,월요일,15:30~17:00,없음,인천 서구 청라루비로42번길 5-21,37.5294772752587,126.642327230062
14,0,0,진심낙곱새,"낙곱새,낙새볶음,곱창볶음,소곱창전골,버섯불고기,우삼겹볶음","22000,24000,23500,19000,21000,22000",4.1,한식,032-563-7683,11:30~23:00,월요일,없음,없음,인천 서구 중봉대로612번길 10-8,37.5333635711451,126.650734729401
